annualized,mean,std,sharpe,alpha,beta,var,tvar
225,233,208,408,255,330,753,802
236,246,209,439,269,343,731,795
267,287,313,444,314,343,687,697
282,304,324,465,334,330,625,684
192,197,221,302,214,356,713,787
202,208,219,329,223,382,729,769
202,207,207,339,227,318,724,803
218,225,210,383,249,318,733,809
241,252,223,444,275,343,710,787
258,271,223,486,296,343,732,800
198,204,223,320,220,356,715,785
208,214,214,353,234,343,717,796
211,217,203,373,245,271,762,806
316,344,384,497,371,382,547,624
232,243,241,403,259,395,657,767
202,213,297,302,228,382,600,715
197,203,234,311,226,294,707,769
178,181,234,259,193,382,672,776
207,213,200,358,238,283,714,813
195,199,198,325,224,271,722,822
218,226,215,383,244,356,756,774
297,320,333,492,350,343,654,677
214,221,210,373,244,318,712,802
198,205,226,320,220,369,734,782
191,195,212,302,214,318,728,804
220,227,200,398,249,318,768,808
193,198,223,306,213,369,730,775
