top,Yield,ROC,EarningsYield,RS(6m),ROA,ΔROA,AccrualRatio,ΔLTDebt-to-Assets,ΔCurrentRatio,ΔOpMgn,ΔAssetTurnover,roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
30,-1,-1,0,0,-1,0,1,0,-1,-1,0,155.64,20.65,20.17,19.14,1.08,54.0,0.21,1.08,-26.7,-1.68,-44.28,-2.79
30,-1,-1,0,0,-1,0,1,1,0,-1,0,129.55,18.08,17.63,16.85,1.08,40.66,0.16,1.09,-27.83,-1.75,-39.19,-2.47
30,-1,-1,0,0,-1,1,-1,-1,0,0,0,118.68,16.94,16.68,16.9,1.02,35.5,0.14,1.09,-26.7,-1.68,-40.1,-2.53
30,-1,-1,0,0,-1,1,-1,0,-1,1,-1,112.49,16.27,16.36,18.12,0.94,30.18,0.12,1.17,-28.48,-1.79,-43.46,-2.74
30,-1,-1,0,0,-1,1,0,0,-1,0,0,217.58,26.0,24.58,20.02,1.26,73.69,0.29,1.14,-28.91,-1.82,-46.35,-2.92
30,-1,-1,0,0,-1,1,0,0,1,-1,0,147.59,19.88,19.34,18.27,1.09,45.4,0.18,1.17,-29.77,-1.88,-43.21,-2.72
30,-1,-1,0,0,-1,1,0,0,1,1,1,95.0,14.29,14.43,16.96,0.89,23.69,0.09,1.1,-28.3,-1.78,-40.04,-2.52
30,-1,-1,0,0,0,-1,-1,1,1,-1,0,108.68,15.85,15.77,16.9,0.97,34.26,0.14,1.02,-26.34,-1.66,-38.84,-2.45
30,-1,-1,0,0,0,-1,-1,1,1,0,1,107.15,15.68,15.51,16.15,1.0,32.71,0.13,1.02,-26.75,-1.69,-37.82,-2.38
30,-1,-1,0,0,0,-1,1,-1,-1,1,1,91.95,13.93,13.94,15.29,0.95,25.67,0.1,1.0,-25.22,-1.59,-35.99,-2.27
30,-1,-1,0,0,0,-1,1,1,-1,0,1,80.68,12.56,12.87,16.01,0.84,17.93,0.07,1.05,-26.63,-1.68,-37.33,-2.35
30,-1,-1,0,0,0,-1,1,1,0,1,1,100.26,14.9,14.77,15.74,0.98,28.9,0.11,1.03,-24.7,-1.56,-36.7,-2.31
30,-1,-1,0,0,0,0,0,-1,1,0,1,73.89,11.7,12.21,16.52,0.78,13.36,0.05,1.07,-27.03,-1.7,-39.93,-2.52
30,-1,-1,0,0,0,0,1,-1,-1,0,1,64.22,10.43,10.91,15.29,0.75,9.73,0.04,1.01,-24.5,-1.54,-36.18,-2.28
30,-1,-1,0,0,0,0,1,1,0,0,0,119.43,17.02,16.55,15.77,1.09,37.34,0.15,1.04,-25.6,-1.61,-36.38,-2.29
30,-1,-1,0,0,1,-1,0,0,1,-1,-1,266.89,29.69,27.25,19.09,1.46,94.08,0.37,0.99,-27.63,-1.74,-43.77,-2.76
30,-1,-1,0,0,1,-1,1,0,0,-1,1,133.47,18.48,18.06,17.51,1.07,48.88,0.19,0.96,-25.41,-1.6,-39.93,-2.52
30,-1,-1,0,0,1,0,-1,-1,0,0,0,83.67,12.93,13.09,15.44,0.89,22.02,0.09,0.99,-25.79,-1.62,-36.89,-2.32
30,-1,-1,0,0,1,0,-1,0,-1,1,0,97.23,14.55,14.57,15.71,0.96,27.94,0.11,1.02,-23.65,-1.49,-37.02,-2.33
30,-1,-1,0,0,1,0,0,-1,1,0,0,60.47,9.92,10.35,14.78,0.74,10.1,0.04,0.94,-25.0,-1.57,-34.91,-2.2
30,-1,-1,0,0,1,0,0,1,-1,-1,1,57.5,9.51,10.03,15.23,0.7,6.37,0.03,0.98,-25.65,-1.62,-35.59,-2.24
30,-1,-1,0,1,-1,1,-1,-1,0,1,1,88.19,13.48,13.73,16.96,0.85,20.33,0.08,1.09,-28.67,-1.81,-40.21,-2.53
30,-1,-1,0,1,-1,1,-1,-1,1,-1,1,63.48,10.33,11.07,16.9,0.69,7.5,0.03,1.08,-28.78,-1.81,-40.82,-2.57
30,-1,-1,0,1,-1,1,-1,0,0,-1,-1,138.13,18.95,18.55,18.02,1.06,43.04,0.17,1.14,-27.98,-1.76,-42.01,-2.65
30,-1,-1,0,1,-1,1,-1,0,0,-1,0,111.76,16.19,16.17,17.43,0.96,31.13,0.12,1.12,-28.63,-1.8,-41.31,-2.6
30,-1,-1,0,1,-1,1,-1,0,0,0,0,101.84,15.08,15.24,17.46,0.91,26.64,0.11,1.12,-27.72,-1.75,-41.53,-2.62
30,-1,-1,0,1,-1,1,0,-1,0,0,-1,77.65,12.18,12.8,17.79,0.75,12.64,0.05,1.15,-28.0,-1.76,-42.06,-2.65
30,-1,-1,0,1,-1,1,0,0,0,1,0,82.94,12.84,13.38,17.94,0.78,15.49,0.06,1.16,-29.15,-1.84,-42.17,-2.66
30,-1,-1,0,1,-1,1,1,1,1,1,1,73.19,11.61,12.29,17.54,0.74,11.2,0.04,1.13,-28.8,-1.81,-41.36,-2.61
30,-1,-1,0,1,0,0,-1,-1,-1,0,1,53.72,8.98,9.7,16.27,0.64,2.53,0.01,1.04,-26.9,-1.69,-38.78,-2.44
30,-1,-1,0,1,0,0,-1,0,-1,1,1,88.19,13.48,13.73,16.55,0.87,21.68,0.09,1.06,-26.54,-1.67,-38.84,-2.45
