w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
-1,-1,0,-1,-1,0,0,0,1,-1,-1,1.2,24.88,-28.57,-4.69924,116
-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,1.16,24.48,-29.52,-4.73264,117
-1,-1,0,-1,-1,0,-1,0,1,1,-1,1.08,19.31,-28.84,-4.40913,118
-1,-1,-1,-1,1,-1,-1,0,1,1,-1,1.14,20.12,-28.42,-4.45884,119
-1,-1,-1,-1,-1,-1,0,0,0,0,-1,1.16,24.6,-29.64,-4.74788,120
-1,-1,0,-1,-1,-1,0,0,-1,0,-1,1.17,24.5,-29.57,-4.74794,121
-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,1.27,27.27,-29.59,-4.9467300000000005,122
0,-1,-1,-1,1,-1,0,0,0,1,-1,1.34,27.81,-26.92,-4.78999,123
-1,-1,0,-1,0,-1,1,0,0,1,-1,1.26,24.46,-27.56,-4.65162,124
-1,-1,-1,0,1,-1,0,0,0,1,-1,1.41,28.04,-27.39,-4.91128,125
-1,-1,-1,-1,0,-1,0,0,0,1,-1,1.25,26.5,-30.53,-4.98626,126
-1,0,-1,-1,-1,1,-1,0,0,-1,-1,1.15,24.46,-29.46,-4.716419999999999,127
-1,-1,0,1,-1,1,-1,0,0,-1,-1,1.06,18.98,-27.96,-4.29662,128
-1,-1,-1,-1,-1,-1,1,0,0,1,-1,1.12,23.04,-29.96,-4.68272,129
-1,-1,-1,-1,-1,-1,0,0,0,1,-1,1.19,26.06,-32.05,-5.0507,130
0,-1,-1,-1,-1,-1,0,0,0,1,0,1.12,22.86,-29.05,-4.592700000000001,131
1,-1,0,0,0,1,0,-1,0,1,0,0.91,12.21,-21.88,-3.3503100000000003,132
-1,-1,-1,1,1,-1,0,0,0,1,0,0.8,11.97,-25.83,-3.59531,133
-1,-1,-1,0,-1,1,-1,0,1,-1,-1,1.08,20.27,-29.9,-4.54025,134
-1,-1,-1,1,-1,1,-1,1,-1,-1,1,0.83,13.32,-28.06,-3.87772,135
-1,1,1,1,0,1,0,0,0,-1,1,0.73,10.66,-25.24,-3.42518,136
-1,-1,-1,-1,1,-1,0,0,0,0,-1,1.29,27.27,-28.87,-4.90049,137
-1,-1,-1,-1,-1,-1,0,0,-1,1,-1,1.14,23.42,-29.62,-4.68474,138
