w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
-1,-1,-1,0,-1,0,-1,0,1,0,-1,1.08,20.01,-29.67,-4.50999,152
-1,-1,-1,0,-1,0,0,0,0,0,-1,1.21,25.75,-30.68,-4.933809999999999,153
0,-1,-1,-1,1,-1,0,-1,1,1,-1,0.94,14.41,-25.2,-3.76275,154
-1,1,-1,0,0,0,-1,0,-1,1,0,0.79,12.19,-26.49,-3.65373,155
-1,-1,-1,0,-1,0,1,1,1,1,1,0.98,15.78,-27.94,-4.10278,156
-1,-1,-1,-1,0,-1,0,0,0,0,-1,1.18,25.16,-29.95,-4.816,157
-1,1,1,-1,-1,1,0,1,0,0,-1,0.89,13.28,-26.01,-3.74772,158
-1,-1,-1,-1,-1,-1,-1,0,1,0,-1,1.19,24.59,-29.69,-4.78213,159
0,-1,1,0,-1,-1,-1,0,1,1,0,0.96,14.82,-26.65,-3.9305,160
1,0,0,0,-1,1,-1,-1,-1,0,1,0.7,9.1,-22.65,-3.1022999999999996,161
-1,-1,-1,-1,-1,0,0,0,0,0,-1,1.23,27.45,-32.19,-5.152229999999999,162
1,0,-1,1,-1,0,-1,-1,1,-1,1,0.78,10.42,-22.67,-3.23034,163
-1,-1,-1,-1,-1,0,0,0,1,-1,-1,1.21,25.19,-29.98,-4.84981,164
-1,-1,-1,0,-1,0,0,0,1,0,-1,1.3,28.44,-31.61,-5.20352,165
-1,1,1,0,0,0,1,1,1,1,1,0.7,9.69,-24.65,-3.3069499999999996,166
-1,-1,-1,-1,-1,-1,1,0,0,0,-1,1.23,26.22,-30.6,-4.962899999999999,167
0,1,1,-1,1,0,0,0,-1,-1,1,0.57,6.93,-23.93,-3.0141099999999996,168
-1,-1,-1,-1,-1,-1,0,0,1,0,-1,1.19,24.79,-30.23,-4.83881,169
-1,-1,-1,-1,-1,0,0,0,-1,0,-1,1.12,23.31,-30.48,-4.74001,170
1,0,1,-1,-1,-1,-1,0,1,0,0,0.49,6.32,-25.06,-3.0167200000000003,171
-1,1,1,1,0,0,-1,-1,-1,1,1,0.77,11.09,-25.96,-3.5464700000000002,172
0,-1,-1,0,-1,0,0,0,1,0,-1,1.24,25.26,-28.86,-4.7792200000000005,173
-1,-1,0,0,0,-1,0,0,0,0,-1,1.33,27.82,-29.21,-4.991020000000001,174
