roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
128.02,17.92,17.69,17.94,1.02,42.07,0.17,1.06,-27.79,-1.75,-41.71,-2.63
48.34,8.21,8.94,15.77,0.6,-0.9,-0.0,1.02,-25.83,-1.63,-36.93,-2.33
158.86,20.95,20.16,17.78,1.17,58.89,0.23,0.97,-25.28,-1.59,-40.86,-2.57
74.08,11.73,11.96,15.13,0.83,17.08,0.07,0.97,-25.32,-1.6,-35.47,-2.23
199.01,24.49,23.36,19.86,1.21,68.46,0.27,1.12,-28.84,-1.82,-45.93,-2.89
205.82,25.05,23.95,20.63,1.19,74.85,0.3,1.05,-29.58,-1.86,-47.31,-2.98
216.6,25.92,24.44,19.69,1.27,74.62,0.3,1.1,-29.27,-1.84,-45.63,-2.87
202.85,24.81,23.67,20.18,1.2,73.75,0.29,1.04,-29.48,-1.86,-45.9,-2.89
164.55,21.48,20.6,17.95,1.18,58.96,0.23,1.02,-26.11,-1.65,-41.38,-2.61
241.3,27.83,25.94,19.85,1.34,84.17,0.33,1.06,-28.46,-1.79,-45.32,-2.86
220.5,26.23,24.75,20.05,1.26,76.87,0.31,1.09,-28.45,-1.79,-45.8,-2.88
128.34,17.95,17.68,17.76,1.03,42.08,0.17,1.06,-28.27,-1.78,-40.58,-2.56
133.62,18.5,18.09,17.53,1.07,41.63,0.17,1.11,-29.04,-1.83,-40.93,-2.58
113.92,16.43,16.33,17.3,0.98,32.9,0.13,1.11,-29.03,-1.83,-40.29,-2.54
221.1,26.28,24.75,19.86,1.28,77.11,0.31,1.08,-27.62,-1.74,-45.29,-2.85
94.99,14.29,14.48,17.04,0.88,23.62,0.09,1.1,-27.83,-1.75,-40.34,-2.54
213.55,25.68,24.09,18.88,1.31,75.73,0.3,1.04,-28.35,-1.79,-43.34,-2.73
151.18,20.23,19.59,18.02,1.12,49.9,0.2,1.1,-28.25,-1.78,-41.2,-2.6
106.44,15.6,15.49,16.43,0.98,30.34,0.12,1.07,-26.64,-1.68,-38.1,-2.4
