w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var
0,-1,-1,-1,0,1,1,0,-1,0,0,1.17,21.21,-26.16
-1,0,0,0,0,0,0,1,0,1,0,0.94,14.21,-25.04
-1,0,-1,1,1,0,1,0,-1,-1,0,1.11,19.35,-25.13
0,0,1,1,-1,1,0,0,0,-1,0,0.74,11.15,-26.87
0,0,0,0,0,1,0,0,-1,0,-1,0.88,12.15,-22.49
0,-1,-1,-1,0,0,-1,0,-1,0,0,1.11,21.04,-26.7
0,0,-1,1,0,0,0,0,-1,1,0,0.7,10.12,-25.86
-1,-1,0,-1,0,1,1,0,-1,0,0,1.24,23.12,-26.25
-1,0,0,0,0,1,-1,-1,0,-1,0,0.68,10.04,-28.52
0,0,0,0,0,0,-1,1,0,0,0,0.87,13.54,-26.5
-1,0,0,0,0,0,0,0,-1,1,0,0.97,15.15,-24.68
0,0,1,0,-1,0,1,0,0,0,0,1.05,18.56,-26.24
1,-1,0,0,1,1,-1,-1,-1,-1,0,0.57,6.44,-19.94
-1,-1,0,0,0,0,1,0,0,-1,-1,1.21,23.63,-27.66
0,0,1,0,1,0,1,0,0,0,0,0.77,10.63,-23.3
-1,-1,0,0,-1,0,1,1,1,0,-1,1.11,19.25,-29.35
0,-1,0,0,0,0,0,1,1,0,0,1.16,17.61,-25.4
0,-1,0,0,-1,1,-1,-1,-1,-1,0,0.73,10.63,-25.82
-1,0,0,0,0,-1,-1,-1,0,1,-1,0.78,11.72,-27.23
0,0,0,0,0,0,0,0,0,0,0,0.88,11.62,-22.5
0,0,1,0,-1,0,0,0,0,0,0,0.76,11.44,-26.89
-1,0,0,1,-1,0,1,0,0,0,1,0.75,11.62,-27.07
-1,-1,1,1,-1,-1,-1,1,0,1,0,1.07,17.62,-27.17
-1,0,0,0,-1,1,-1,-1,0,-1,0,0.66,10.12,-28.78
-1,0,-1,1,-1,0,1,0,-1,-1,0,1.05,19.42,-27.8
0,-1,-1,-1,0,1,0,0,-1,0,0,1.24,24.51,-27.47
-1,-1,1,1,0,0,0,0,0,-1,0,0.85,12.48,-26.11
-1,-1,-1,-1,0,0,0,0,-1,0,-1,1.22,25.39,-29.15
-1,-1,0,0,0,1,-1,1,0,-1,0,1.19,21.24,-27.42
0,-1,0,0,0,0,-1,1,0,0,0,1.1,18.11,-27.18
0,-1,0,0,-1,0,1,1,0,0,0,0.77,11.33,-26.59
-1,0,-1,0,0,0,0,1,-1,-1,-1,0.94,16.11,-28.31
0,-1,0,-1,0,1,0,1,-1,0,0,0.85,12.63,-24.98
-1,-1,0,1,-1,0,1,0,0,-1,0,1.15,21.54,-27.36
-1,-1,0,0,-1,-1,0,1,0,1,-1,1.14,21.12,-29.36
0,-1,-1,-1,0,1,1,1,-1,0,-1,1.0,15.67,-24.87
0,-1,-1,0,0,0,-1,0,0,0,0,1.0,17.26,-28.87
-1,-1,1,0,-1,0,0,1,1,0,0,1.25,21.32,-27.69
0,-1,0,-1,0,1,1,0,0,0,0,1.21,21.98,-24.83
-1,0,0,0,0,0,0,1,0,-1,0,1.1,17.71,-26.58
-1,-1,1,1,-1,0,1,1,0,0,0,0.88,13.65,-25.69
-1,-1,0,0,0,0,1,1,1,0,-1,1.08,16.69,-25.63
-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,0.73,11.31,-27.8
0,-1,0,-1,0,1,0,0,-1,0,0,1.21,22.0,-23.34
-1,-1,-1,0,-1,0,1,0,1,0,-1,1.22,25.08,-29.74
-1,-1,1,-1,0,1,1,0,-1,0,0,1.25,22.63,-25.81
0,0,-1,-1,0,1,1,0,-1,0,0,1.14,20.37,-25.65
1,0,0,0,-1,1,-1,-1,1,-1,0,0.63,7.81,-23.53
0,0,-1,0,0,0,-1,0,-1,0,0,0.81,12.12,-25.85
-1,0,0,0,0,1,-1,-1,0,-1,-1,0.79,11.96,-26.71
