w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var
-1,-1,-1,0,-1,0,0,0,0,0,1,1.15,22.6,-30.28
-1,0,0,-1,0,-1,-1,0,0,1,0,1.07,18.72,-27.38
0,-1,-1,0,1,-1,0,0,0,-1,-1,1.25,24.82,-27.14
-1,-1,-1,0,0,1,0,0,0,0,0,1.04,18.21,-29.09
-1,0,0,-1,0,0,0,0,1,-1,-1,1.24,25.59,-27.81
0,0,0,0,-1,1,0,0,1,-1,-1,1.04,16.7,-27.11
-1,0,-1,0,1,0,1,0,0,0,0,1.36,24.49,-24.03
-1,-1,-1,0,0,-1,0,1,0,0,-1,1.01,17.68,-28.12
-1,0,-1,0,0,0,0,0,1,-1,-1,1.31,26.4,-28.41
-1,-1,0,0,1,1,0,0,0,-1,-1,1.29,22.43,-22.69
-1,0,0,-1,-1,0,1,0,0,-1,-1,1.24,25.72,-29.06
-1,0,-1,0,1,0,1,1,0,1,0,0.98,14.29,-23.06
-1,0,-1,0,0,0,1,0,0,-1,-1,1.21,24.06,-28.02
-1,0,-1,-1,-1,0,0,0,0,0,0,1.13,24.0,-31.37
-1,0,-1,-1,0,-1,0,0,0,0,0,1.04,21.33,-30.06
-1,-1,-1,-1,-1,0,0,0,0,-1,0,1.13,23.8,-29.56
-1,0,-1,-1,1,0,1,1,0,1,0,1.14,17.01,-24.31
-1,-1,-1,0,-1,-1,1,1,0,0,-1,0.92,16.03,-28.74
-1,-1,-1,0,1,-1,0,0,0,-1,-1,1.33,27.12,-27.02
-1,-1,-1,0,1,0,0,0,0,0,0,1.27,24.98,-28.24
-1,-1,-1,0,1,-1,-1,0,0,-1,-1,1.21,24.78,-28.8
-1,0,-1,-1,-1,-1,0,0,0,1,1,1.19,24.93,-30.64
-1,0,0,0,1,1,0,0,0,-1,-1,0.83,10.66,-22.81
-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1.18,25.2,-30.86
-1,1,0,0,0,-1,-1,0,0,1,0,0.69,9.68,-25.41
-1,0,-1,-1,0,0,1,0,0,-1,0,1.2,24.01,-28.06
-1,0,-1,-1,1,-1,-1,0,0,1,0,1.1,19.21,-26.75
-1,0,-1,0,1,0,0,0,0,0,0,1.07,16.25,-24.05
-1,-1,0,0,0,0,0,0,0,0,0,1.3,26.61,-29.51
-1,0,-1,-1,-1,-1,0,0,0,0,1,1.01,20.12,-30.64
-1,0,-1,-1,1,0,-1,0,0,-1,-1,1.28,27.07,-28.65
-1,0,-1,0,0,-1,-1,0,0,1,-1,0.97,17.16,-29.21
-1,-1,-1,0,-1,-1,1,0,0,-1,0,1.2,24.16,-28.96
-1,0,0,0,1,0,0,0,0,0,0,0.89,12.42,-23.35
0,0,-1,0,0,0,-1,0,1,-1,-1,0.81,12.39,-26.64
0,0,-1,0,0,0,0,0,0,0,-1,1.18,23.85,-28.8
-1,0,-1,-1,0,0,0,0,0,0,0,1.24,26.48,-29.83
-1,-1,-1,0,0,0,0,0,0,0,-1,1.29,27.68,-30.37
-1,-1,-1,0,-1,-1,0,0,0,0,0,1.17,24.3,-30.3
-1,0,-1,-1,-1,-1,0,0,0,0,-1,1.11,23.27,-31.24
-1,-1,0,0,-1,0,0,0,-1,1,0,1.14,23.31,-29.84
-1,0,-1,0,0,-1,1,0,-1,0,-1,1.09,20.21,-27.33
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1.16,24.33,-29.31
-1,0,0,-1,0,0,0,0,0,1,-1,0.96,15.37,-26.58
-1,-1,0,0,-1,1,0,0,1,-1,0,1.09,19.9,-29.77
-1,-1,-1,0,1,0,0,0,0,-1,-1,1.35,27.32,-28.0
-1,1,-1,0,0,0,0,0,1,-1,-1,0.93,13.93,-25.48
0,0,0,-1,0,1,1,0,0,-1,-1,0.98,16.62,-25.89
-1,0,-1,0,-1,0,1,0,0,0,0,0.93,17.61,-30.76
-1,0,0,-1,-1,0,0,0,1,-1,-1,1.25,26.36,-28.58
-1,-1,-1,-1,1,-1,0,0,0,0,-1,1.29,27.27,-28.87
-1,0,-1,0,-1,0,-1,0,0,-1,0,1.06,22.0,-30.23
-1,0,0,0,0,1,0,0,0,0,-1,0.84,12.41,-25.48
-1,0,-1,0,1,-1,0,0,0,-1,-1,1.27,24.95,-27.94
-1,-1,-1,-1,-1,0,1,0,0,0,0,1.11,22.27,-29.82
-1,0,-1,0,0,-1,0,0,0,1,0,1.03,20.49,-30.51
0,-1,-1,0,-1,1,0,0,0,0,-1,1.21,23.83,-27.98
-1,0,-1,0,1,0,1,0,0,1,-1,0.91,12.71,-23.81
-1,0,-1,0,1,0,0,0,0,-1,0,1.25,24.48,-28.33
-1,-1,-1,0,-1,-1,0,0,0,-1,-1,1.21,25.13,-29.16
-1,-1,-1,-1,1,0,-1,0,0,-1,-1,1.24,26.32,-29.51
0,-1,0,0,1,1,0,0,0,-1,-1,0.93,12.11,-20.99
-1,-1,-1,-1,1,0,0,0,0,0,-1,1.31,27.14,-28.08
-1,0,-1,-1,0,0,0,0,0,-1,0,1.0,20.22,-30.6
-1,0,-1,-1,-1,0,0,0,-1,-1,0,1.03,20.59,-30.15
-1,-1,-1,0,-1,0,0,0,1,-1,-1,1.24,25.7,-29.16
-1,-1,0,0,-1,0,0,1,0,-1,-1,1.07,19.32,-28.11
-1,0,0,-1,1,-1,1,0,0,0,0,1.15,20.11,-25.34
